FIR_No,PS_Name,Latitude,Longitude
50,ADARSH NAGAR,28.71101,77.17322
104,ADARSH NAGAR,28.71173,77.17927
141,ADARSH NAGAR,28.71192,77.17893
192,ADARSH NAGAR,28.71689,77.16998
295,ADARSH NAGAR,28.72519,77.18262
818,ADARSH NAGAR,28.71013,77.17633
935,Ali Pur,28.793701,77.143647
29,ALIPUR,28.82635,77.14689
40,ALIPUR,28.85762,77.09729
69,ALIPUR,28.85225,77.12703
108,ALIPUR,28.77193,77.14156
142,ALIPUR,28.82571,77.11095
689,ALIPUR,28.77189,77.14228
4,ALIPUR,28.81038,77.13631
6,ALIPUR,28.81534,77.16261
99,ALIPUR,28.79423,77.14391
109,ALIPUR,28.82599,77.13157
145,ALIPUR,28.79716,77.13312
376,ALIPUR,28.78910,77.14132
428,ALIPUR,28.82139,77.17283
555,ALIPUR,28.80722,77.14046
579,ALIPUR,28.80355,77.14421
591,ALIPUR,28.75351,77.14836
603,ALIPUR,28.81028,77.13699
649,ALIPUR,28.75359,77.11553
709,ALIPUR,28.78261,77.14149
713,ALIPUR,28.84318,77.15399
765,ALIPUR,28.80588,77.12810
780,ALIPUR,28.78899,77.14135
840,ALIPUR,28.83314,77.13036
857,ALIPUR,28.84469,77.12691
907,ALIPUR,28.84585,77.12688
941,ALIPUR,28.85238,77.12939
1082,ALIPUR,28.85220,77.12591
1126,ALIPUR,28.77402,77.14306
113,AMAN VIHAR,28.74171,77.04581
332,AMAN VIHAR,28.70075,77.05506
356,AMAN VIHAR,28.69921,77.07035
492,AMAN VIHAR,28.70755,77.07310
605,AMAN VIHAR,28.71061,77.06426
4,AMAR COLONY,28.55613,77.24389
49,AMAR COLONY,28.56143,77.24360
243,AMAR COLONY,28.56176,77.24992
366,AMAR COLONY,28.55919,77.26207
25,ANAND PARBAT,28.65976,77.16942
374,ANAND PARBAT,28.66163,77.17755
419,ANAND PARBAT,28.66785,77.16467
414,Anand Parbat,28.662614,77.182038
118,ANAND VIHAR,28.65599,77.30652
54,ANAND VIHAR,28.65571,77.30625
195,ANAND VIHAR,28.64034,77.31533
215,ANAND VIHAR,28.64594,77.31756
167,ANAND VIHAR,28.65951,77.31919
322,ANAND VIHAR,28.64415,77.29892
28,ASHOK VIHAR,28.69623,77.17901
54,ASHOK VIHAR,28.70191,77.16481
414,ASHOK VIHAR,28.70091,77.16143
427,ASHOK VIHAR,28.69623,77.17901
444,ASHOK VIHAR,28.70068,77.16776
496,ASHOK VIHAR,28.70029,77.15942
592,ASHOK VIHAR,28.69664,77.16140
703,ASHOK VIHAR,28.70006,77.16678
456,Ashok Vihar,28.531115,77.270042
37,BABA HARIDAS NAGAR,28.61914,76.97420
49,BABA HARIDAS NAGAR,28.61469,76.97759
58,BABA HARIDAS NAGAR,28.66776,76.94130
100,BABA HARIDAS NAGAR,28.64930,76.95427
