Auto_Date,Auto_Time,Form_No,Entry_Personnel,Filled_Date,FIR_No,Police_Station,Time_Of_Crash,Date_Of_Crash,Collision_Type,Hit_and_Run,Special_Case,Case File Available,Crash_Severity,No_Of_ Fatalities,No_Of_ Injured,No_Of_Vehicles,Location,Road_Type,Road_1,Road_2,Road_3,GPS_Lat,GPS_Long,Note,Crash_ID,Distance_From_Landmark,Text97,Veh_Rel_Travel_Dir,Crash_ID_new,PS_Name,PS_Name_New,PS_State,PS_Dist,div_DCP,Sb_div_ACP,Circle_TI,Latitude,Longitude
20-07-2022,04:33 PM,210050,Yatin Pimple,2022-04-25T00:00:00Z,0050,21,20:30,2021-01-23T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,near shop no 34,tpt azad pur delhi,new delhi,0,0,pedestrian was hit by truck from behind while loading goods in parked truck and was declared brought dead on arrival to hospital.,3446,0,west,Same Direction,3446005021,CHANDNIMAHAL,Chandni Mahal,Delhi,Delhi,Central,Kamla Market,Darya Ganj,NA,NA
20-07-2022,04:33 PM,210295,Yatin Pimple,2022-04-25T00:00:00Z,0295,1,23:55,2021-06-17T00:00:00Z,Sideswipe (Same Direction),TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,Main road najid,Majlis park metro station,delhi,0,0,Scooty driver hit by  tempo truck while taking U turn . Tempo driver ran away from site with his vehicle.,3447,1,north west,Same Direction,344702951,ADARSHNAGAR,Adarsh Nagar,Delhi,Delhi,North West,Shalimar Bagh,Jahangir Puri,28.725188,77.182617
20-07-2022,04:33 PM,210818,Yatin Pimple,2021-04-25T00:00:00Z,0818,1,09:00,2021-12-19T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,NA,Azad pur flyover chowk,delhi,NA,0,0,One unidentified person found dead on spot . Unknown vehicle,3448,0,North,Unknown,344808181,ADARSHNAGAR,Adarsh Nagar,Delhi,Delhi,North West,Shalimar Bagh,Jahangir Puri,28.710129,77.176334
20-07-2022,04:33 PM,210006,Yatin Pimple,2021-04-25T00:00:00Z,0006,2,20:30,2021-01-03T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,NA,in front of royal arches,bhaktawarpur road,ali pur delhi,0,0,Motorcycle driver hit by unknown vehicle . The driver was declared brought dead at hospital.,3449,2,north,Unknown,344900062,ALIPUR,AliPur,Delhi,Delhi,Outer North,Samai Pur Badli,Samai Pur Badli,28.815338,77.162608
20-07-2022,04:33 PM,210029,Yatin Pimple,2021-04-25T00:00:00Z,0029,2,08:50,2021-01-16T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,NA,Road near shankar jindal godam,Hamidpur,Delhi,0,0,An unknown person was found dead on the spot because he was hitted by an unknown vehicle.,3450,6,North,Unknown,345000292,ALIPUR,AliPur,Delhi,Delhi,Outer North,Samai Pur Badli,Samai Pur Badli,28.826353,77.146889
20-07-2022,04:33 PM,210040,Yatin Pimple,2021-04-25T00:00:00Z,0040,2,15:00,2021-01-23T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,NA,"Industrial Area, Near Old Age Home",Khera kala,Delhi,0,0,Motorcyclist was hit by the truck driver and was found dead on the spot as declared by the doctor.,3451,5,North-West,Unknown,345100402,ALIPUR,AliPur,Delhi,Delhi,Outer North,Samai Pur Badli,Samai Pur Badli,28.857618,77.097293
20-07-2022,04:33 PM,210069,Yatin Pimple,2021-04-25T00:00:00Z,0069,2,22:47,2021-02-15T00:00:00Z,Sideswipe (Same Direction),FALSE,FALSE,FALSE,Fatal Crash,1,1,2,Unknown,NA,Taj pur Road,Singhu village,Delhi,0,0,Motor cycle driver and pillion rider hit by Tempo Tata 407.Pillion rider died on the spot and driver was hospitalised.Tempo driver was there available on site .,3452,4,north east,Same Direction,345200692,ALIPUR,AliPur,Delhi,Delhi,Outer North,Samai Pur Badli,Samai Pur Badli,28.852249,77.12703
20-07-2022,04:33 PM,210099,Yatin Pimple,2021-04-25T00:00:00Z,0099,2,23:00,2021-03-07T00:00:00Z,Sideswipe (Same Direction),TRUE,FALSE,FALSE,Fatal Crash,1,0,2,NA,NA,GTK Road,"Jindpur flyover , near U Turn","Sindhu Border, Delhi",0,0,Motorcycle was hit by unknown vehicle while taking U Turn . Driver of motorcycle died on the spot and pillion rider got injuried .,3453,3,north east,Same Direction,345300992,ALIPUR,AliPur,Delhi,Delhi,Outer North,Samai Pur Badli,Samai Pur Badli,28.794232,77.143909
20-07-2022,04:33 PM,210006,Ashwani,2022-04-25T00:00:00Z,0006,90,00:00,2021-01-10T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,NA,Bangla Shaib Gurudwara,Red Light,New Delhi,29,77,Unknown lady found unconscious on road . Impacting Vehicle also unknown.,3454,2,East,Unknown,3454000690,MANDIRMARG,Mandir Marg,Delhi,Delhi,New Delhi,Connaught Place,Connaught Place,28.627477,77.207967
20-07-2022,04:33 PM,210078,Ashwani,2022-04-26T00:00:00Z,0078,90,19:30,2021-06-14T00:00:00Z,Unknown,FALSE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,NA,Ridge Road near Ramnath viz,"Marg , from Karol Bagh towards Dhaula Kuan",New Delhi,29,77,One motorist found in accidental condition on road and taken to hospital by public in private vehicle .,3455,2,South West,Unknown,3455007890,MANDIRMARG,Mandir Marg,Delhi,Delhi,New Delhi,Connaught Place,Connaught Place,28.633233,77.174218
20-07-2022,04:33 PM,210008,Ashwani,2022-04-26T00:00:00Z,0008,90,13:45,2021-01-16T00:00:00Z,Single Vehicle Overturn,FALSE,FALSE,FALSE,Fatal Crash,1,1,2,Unknown,NA,Shankar road towards Rajender nagar,Near Shankar Road round about,Delhi,29,77,TSR auto overturns and hits scooty. Resulting in injury to both auto driver and scooty driver .,3456,2,North West,Unknown,3456000890,MANDIRMARG,Mandir Marg,Delhi,Delhi,New Delhi,Connaught Place,Connaught Place,28.634096,77.189188
